Headline,Source,Posted,Description,Link
India's DLF to foray into hospital space,Reuters,9 minutes ago,"India's top real-estate developer DLF will form a company with Global Health Ltd to launch a multi-speciality hospital, the two companies said on Thursday, in what is DLF's foray into the country's booming hospital sector.",https://www.reuters.com/world/india/indias-dlf-foray-into-hospital-space-2023-08-10/
"India's Modi appeals for peace in Manipur, months after ethnic clashes erupted in the state",Associated Press via Yahoo News,28 minutes ago,"India's Narendra Modi appealed for peace during a Parliament debate Thursday, after opposition...",https://news.yahoo.com/indias-modi-appeals-peace-manipur-154937665.html?fr=sycsrp_catchall
India raises concerns over oil market volatility with producer countries,Reuters via Yahoo Finance,3 hours ago,India has flagged concerns over volatility in the global oil prices to major oil producers and...,https://finance.yahoo.com/news/india-raises-concerns-over-oil-133651830.html?fr=sycsrp_catchall
IDC: India's wearable market grew 53% in the first half of 2023,GSMArena.com,28 minutes ago,India's smart wearables market grew rapidly in the first half of 2023. Over 57.8 million smart...,https://www.gsmarena.com/idc_indias_wearable_market_grew_53_in_the_first_half_of_2023-news-59508.php
India’s Grain Stockpiles Key to Modi’s Pre-Election Strategy,Bloomberg via Yahoo Finance,24 hours ago,"(Bloomberg) -- Last year, Prime Minister Narendra Modi said India could feed the world. This year,...",https://finance.yahoo.com/news/india-grain-stockpiles-key-modi-020000667.html?fr=sycsrp_catchall
India's Zee and Sony inch closer to becoming a $10 billion behemoth,Quartz,3 hours ago,A $10 billion media and entertainment behemoth is one step closer to see the light in India. The...,https://qz.com/india-zee-sony-10-billion-entertainment-merger-1850724086
India's surprise import duty could aid Jio | Light Reading,Light Reading,1 day ago,"India has put import restrictions on laptops, tablets, small-form-factor servers and personal computers to address security concerns and boost domestic manufacturing. The ...",https://www.lightreading.com/asia/indias-surprise-import-duty-could-aid-jio/d/d-id/786020
India’s Central Bank Pauses Again to Battle With Inflation,Bloomberg via Yahoo Finance,9 hours ago,(Bloomberg) -- The Reserve Bank of India left its key interest rate unchanged for a third straight...,https://finance.yahoo.com/news/india-central-bank-pauses-again-052256973.html?fr=sycsrp_catchall
India's Shaw slams sixth-highest one-day score of 244,AFP via Yahoo Sports,22 hours ago,India's Prithvi Shaw struck the sixth highest individual one-day score on Wednesday when he blasted...,https://sports.yahoo.com/indias-shaw-slams-sixth-highest-181745885.html?fr=sycsrp_catchall
"Sony India, Zee Entertainment Merger Gets Key Approval",The Hollywood Reporter via Yahoo News,5 hours ago,"Indian regulators have approved, after much delay, the proposed merger between Sony’s TV operations...",https://www.yahoo.com/entertainment/sony-india-zee-entertainment-merger-110845843.html?fr=sycsrp_catchall
"Ola, Uber and Zomato: India's gig workers see hope in new state law",BBC via Yahoo News,8 hours ago,Getty Images Gig workers in India frequently protest against poor working conditions Gig workers in ...,https://news.yahoo.com/rajasthan-indias-gig-workers-see-233214646.html?fr=sycsrp_catchall
"India passes data protection legislation to prevent data breaches, regulate big tech firms",Fox News,3 hours ago,"Indian lawmakers Wednesday approved a data protection legislation that ""seeks to better regulate big...",https://www.foxnews.com/world/india-passes-data-protection-legislation-prevent-data-breaches-regulate-big-tech-firms
India shares lower at close of trade; Nifty 50 down 0.46% By Investing.com,Investing.com,6 hours ago,India shares lower at close of trade; Nifty 50 down 0.46%,https://ca.investing.com/news/stock-market-news/india-shares-lower-at-close-of-trade-nifty-50-down-046-3076262
Mahatma Gandhi’s great grandson detained on way to mark ‘Quit India’ day against British colonial...,The Independent UK via AOL,3 hours ago,The great grandson of Indian freedom fighter Mahatma Gandhi was detained in Mumbai on Wednesday as...,https://www.aol.com/mahatma-gandhi-great-grandson-detained-164312655.html
Sony-Zee TV Mega Merger in India Is Given Green Light,Variety via Yahoo News,6 hours ago,The proposed merger between Zee Entertainment Enterprises Limited and Sony’s TV operations in India...,https://www.yahoo.com/entertainment/sony-zee-tv-mega-merger-102003790.html?fr=sycsrp_catchall
India's consumer goods growth hits 1-1/2-year high on rural revival- NielsenIQ,Reuters,5 hours ago,"Demand for consumer goods has been under pressure in rural India, with higher prices of everyday...",https://www.reuters.com/article/india-retail-demand-nielseniq-idUSKBN2ZL0WL
Asian Champions Trophy 2023: India beat Pakistan 4-0 to knock them out of the competition | Sporting...,Sporting News,23 hours ago,India registered a famous 4-0 victory over Pakistan in the Asian Champions Trophy 2023 to knock them...,https://www.sportingnews.com/in/other-sports/news/asian-champions-trophy-2023-india-beat-pakistan-4-0-knock-them-out-competition/m9fjntpgytbwoh0rb7nvupxu
India stocks lower at close of trade; Nifty 50 down 0.46% By Investing.com,Investing.com,6 hours ago,India stocks lower at close of trade; Nifty 50 down 0.46%,https://www.investing.com/news/stock-market-news/india-stocks-lower-at-close-of-trade-nifty-50-down-046-3151033
"India, Japan, US, Australia hold first Malabar naval exercise off Australia",Reuters via AOL,9 hours ago,"India, Japan, the United States and Australia will hold the Malabar navy exercise off the coast of...",https://www.aol.com/india-japan-us-australia-hold-074248684.html
"Schneider India sees stability in raw materials prices and supply, inflation mild concern: CFO",Digital Journal,1 hour ago,"PRESS RELEASE Published August 10, 2023 GetNews Arnab Roy, Zone CFO - Greater India, Schneider Electric Schneider Electric India, which is the Indian arm ...",https://www.digitaljournal.com/pr/news/getnews/schneider-india-sees-stability-in-raw-materials-prices-and-supply-inflation-mild-concern-cfo
India's Hero MotoCorp misses Q1 profit view on lower sales volume,Reuters,3 hours ago,India's largest motorcycle maker Hero MotoCorp (HROM.NS) on Thursday missed first-quarter profit...,https://www.reuters.com/business/autos-transportation/indias-hero-motocorp-q1-profit-rises-32-2023-08-10/
India's largest basmati rice exporter KRBL posts Q1 profit growth on steady demand,Reuters,5 hours ago,"KRBL, India's largest exporter of branded basmati rice, on Thursday said its first-quarter profit...",https://www.reuters.com/markets/commodities/indias-largest-basmati-rice-exporter-krbl-posts-q1-profit-growth-steady-demand-2023-08-10/
India's consumer goods growth hits 1-1/2-year high on rural revival- NielsenIQ,Reuters,5 hours ago,"Demand for consumer goods has been under pressure in rural India, with higher prices of everyday...",https://www.reuters.com/business/retail-consumer/indias-consumer-goods-growth-hits-1-12-year-high-rural-revival-nielseniq-2023-08-10/
"Samsung Galaxy Tab S9 FE’s India Price, RAM, and Storage Leaked Ahead Of Launch; Here’s What To...",Mashable,2 hours ago,"Samsung is poised to introduce 'FE' iterations of its flagship Galaxy Tab S9 series, featuring the...",https://in.mashable.com/tech/58081/samsung-galaxy-tab-s9-fes-india-price-ram-and-storage-leaked-ahead-of-launch-heres-what-to-expect
India proposes AI-powered conversational payments system: RBI,The Cointelegraph,4 hours ago,"The Reserve Bank of India (RBI), the country’s central bank, has published a press release that...",https://cointelegraph.com/news/india-proposes-ai-powered-conversational-payments-system-rbi
Are Muslims in India’s Haryana facing ‘ethnic cleansing’?,Al Jazeera,5 hours ago,"Near India’s capital, in Haryana state, the demolition of about 1,200 in a Muslim-majority area has...",https://www.aljazeera.com/podcasts/2023/8/10/are-muslims-in-indias-haryana-facing-ethnic
India clears Sony-Zee deal to form $10 billion entertainment powerhouse,Reuters via Yahoo Finance,6 hours ago,NEW DELHI (Reuters) -India paved the way on Thursday for a $10 billion media and entertainment...,https://finance.yahoo.com/news/sony-zee-merger-gets-key-095533059.html?fr=sycsrp_catchall
India's Apollo Tyres Q1 profit more than doubles on lower costs,Reuters,3 hours ago,"India's Apollo Tyres reported a bigger-than-expected rise in quarterly profit on Thursday, boosted...",https://www.reuters.com/world/india/indias-apollo-tyres-q1-profit-more-than-doubles-lower-costs-2023-08-10/
Honeywell Automation India's profit growth slows as expenses climb,Reuters,3 hours ago,Engineering firm Honeywell Automation India reported its slowest profit growth in five quarters on...,https://www.reuters.com/world/india/honeywell-automation-indias-profit-growth-slows-expenses-climb-2023-08-10/
"India’s Modi appeals for peace in Manipur, months after ethnic clashes erupted in the state",Seattle Times,27 minutes ago,"India’s Narendra Modi appealed for peace during a Parliament debate Thursday, after opposition lawmakers had called for a no-confidence vote, accusing the prime minister of ...",https://www.seattletimes.com/news/indias-modi-appeals-for-peace-in-manipur-months-after-ethnic-clashes-erupted-in-the-state/
India's Hero MotoCorp eyes more premium bike launches,Reuters via Yahoo Finance,3 hours ago,BENGALURU (Reuters) -Indian motorcycle maker Hero MotoCorp on Thursday doubled down on its bets on...,https://finance.yahoo.com/news/indias-hero-motocorp-q1-profit-130810715.html?fr=sycsrp_catchall
Air India unveils new logo in rebranding push under Tata Group,Reuters,2 hours ago,"Tata Group on Thursday unveiled a new logo, branding and plane livery for Air India as part of a multi-million dollar transformation of the former state-run carrier. The airline's ...",https://www.reuters.com/business/aerospace-defense/air-india-unveils-new-logo-rebranding-push-under-tata-group-2023-08-10/
India Central Bank Keeps Rate Unchanged as Inflation Slows,The Wall Street Journal,12 hours ago,Reserve Bank of India Gov. Shaktikanta Das said the policy committee decided to remain focused on...,https://www.wsj.com/articles/india-central-bank-keeps-rate-unchanged-as-inflation-slows-22344114
India central bank to withdraw 1 trln rupees via incremental CRR,Reuters via Yahoo Finance,11 hours ago,MUMBAI (Reuters) -The Reserve Bank of India (RBI) will withdraw nearly one trillion rupees ($12.07...,https://finance.yahoo.com/news/india-central-bank-asks-banks-054506905.html?fr=sycsrp_catchall
Verizon Strengthens Business Group with India Partnership,Barrons.com,1 hour ago,"The deal with HCLTech, which became India's third-largest IT company surpassing Wipro last year,...",https://www.barrons.com/articles/verizon-stock-price-partnership-4995985c?siteid=yhoof2&yptr=yahoo
Steel Authority of India posts Q1 profit fall as expenses outpace revenue growth,Reuters,2 hours ago,State-owned Steel Authority of India Ltd (SAIL) on Thursday reported an 81% slump in first-quarter...,https://www.reuters.com/world/india/steel-authority-india-posts-q1-profit-fall-expenses-outpace-revenue-growth-2023-08-10/
UPDATE 2-Air India unveils new logo in rebranding push under Tata Group,Reuters via Yahoo Finance,2 hours ago,"Tata Group on Thursday unveiled a new logo, branding and plane livery for Air India as part of a multi-million dollar transformation of the former state-run carrier. The airline's ...",https://finance.yahoo.com/news/2-air-india-unveils-logo-144500521.html?fr=sycsrp_catchall
India's LIC Q1 profit rises fourteen-fold,Reuters,3 hours ago,"Life Insurance Corporation of India on Thursday reported a near fourteen-fold surge in first-quarter profit, as it moved money to a shareholders' fund to...",https://www.reuters.com/world/india/indias-lic-q1-profit-rises-fourteen-fold-2023-08-10/
Samsung Galaxy Z Fold5 and Galaxy Z Flip5's India sale date announced,GSMArena.com,3 hours ago,"Samsung Galaxy Z Fold5 and Galaxy Z Flip5 unveiled at the Galaxy Unpacked event in Seoul, South...",https://www.gsmarena.com/samsung_galaxy_z_fold5_galaxy_z_flip5_india_price_sale_date-news-59504.php
India starts importing tomatoes from Nepal amid price spike,Reuters,8 hours ago,"India has started importing tomatoes from Nepal, India's finance minister said on Thursday amid a...",https://www.reuters.com/world/india/india-starts-importing-tomatoes-nepal-amid-price-spike-2023-08-10/
